title,1177 a. C. El año en que la civilización se derrumbó,1382-metodo-ted-para-hablar-en-publico,A este lado del paraíso,Altas capacidades en niños y niñas,Antología Palatina I,Aquellos hombres grises,Bastiat,Benjamin Franklin,Caballos desbocados,La Casa de Dios,Cómo Criar Niños Felices,Cómo enseñar a leer a su bebé,Cómo funciona la mente,Cómo hablar con un progre,Cómo hablar para que los niños escuchen y cómo escuchar para que los niños hablen,Cómo invertir en Bolsa a largo plazo partiendo de cero,Cuentos esenciales,De ratones y hombres,Decamerón,"Decir no, por amor",Deep Learning with Keras,Desarrolla una mente prodigiosa,División 250,Eso lo explica todo,Los Estados Unidos Desde 1816 Hasta La Guerra Civil,Los Estados Unidos desde el final de la Guerra Civil hasta la Primera Guerra Mundial,Flores para Algernon,Habilidades para niños,Hábitos atómicos,Helénicas,Historia de Rusia en el siglo XX,Historias Libros I-IV,Historias Libros III-V,Historias Libros V-XV,Historias Libros XVI-XXXIX,Ideologías y aparatos ideológicos de Estado,Kokoro,La historia de Genji,Mahoma,Marketingdencias,Las Mil Y Una Noches,Mitos y falacias de la historia de España,Morfina,Nuevos enigmas históricos al descubierto,Pabellón de cáncer,Por qué fracasan los países,Por una causa justa,Psicología y pedagogía,Retorno a Brideshead,"San Manuel Bueno, mártir",Sentimentalismo tóxico,Sobre la libertad,Solaris,Starship troopers,Taiko,La Tierra es plana,Todo fluye,Todo lo que debe saber sobre la Segunda Guerra Mundial,Universos paralelos,Vida y destino,La Violación de Nanking,Ya está el listo que todo lo sabe,El árbol de la ciencia,Una breve historia de casi todo,La cabaña del tío Tom,El capote (Trad. Irene Tchernova),Los cien mil hijos de san Luis,La civilización del Occidente medieval,El código de las mentes extraordinarias,El economista camuflado ataca de nuevo,La educación sentimental,Los errores de las mujeres en el amor,El espía que surgió del frío,El factor confianza,La formación de América del Norte,Un fuego sobre el abismo,Los gozos y las sombras,La guerra que ganó Franco,La historia secreta de Madrid,El hombre en busca de sentido,El infierno de Treblinka,El instinto del lenguaje,El largo adiós,El libro de las tierras vírgines,El libro negro de la humanidad,El libro negro,El materialismo histórico y la filosofía de Benedetto Croce,El método Lean Startup,Los mitos griegos I.,El molino del Floss,La muerte blanca,La muerte de Iván Ilich,El mundo de las palabras,El nacimiento de los Estados Unidos (1763-1816),El nuevo mánager al minuto,El pájaro pintado,La pequeña Dorrit,El problema de los Tres Cuerpos,El proceso de convertirse en persona,La república de Azaña,La sombra del ciprés es alargada,El sueño eterno,La tabla rasa
1177 a. C. El año en que la civilización se derrumbó,1.0,0.0747740867641522,0.16807706591754057,0.08272266470054879,0.14643233985480786,0.2285673258088481,0.20989431263224945,0.13176861245553606,0.1453505431322204,0.12900937372691723,0.2958592686367276,0.12798650864535854,0.2680492679154062,0.2054017022478294,0.13194090923487345,0.07073715669761516,0.13426995946507714,0.029577398681310374,0.18572623150865786,0.1336743620844948,-0.0,0.08448464141932976,0.09612493823855517,0.23014470308817303,0.16184112698471043,0.17104949844207318,0.09918334352928504,0.13466840609942965,0.1878049403351143,0.1934745666582841,0.192033818763662,0.11819362490670626,0.07399889556654038,0.08316043025907671,0.10727291311965026,0.09547102643142957,0.20163317047828688,0.21357548800578852,0.27500240448914004,0.1483161899851717,0.05728839114328943,0.13692062440152453,0.07221202241155844,0.200444403767147,0.11612488497702289,0.2762486424666929,0.11371822711034907,0.1560482987195907,0.14895164050640985,0.07172622996760125,0.21405316436409672,0.16448593202534423,0.12833712015444232,0.13244482518319267,0.17726916656087788,0.09295022370129491,0.12815234486501825,0.15467489436073245,0.256158642183715,0.11230495520179329,0.2704068362262909,0.22411800938444304,0.10978144403797552,0.35089814962878896,0.07876454526174492,0.04909679845426218,0.07458883614371492,0.2681178673342476,0.21917866983139966,0.2714908756316472,0.11244851657823063,0.15325915601278528,0.09419498898735545,0.12925232031921674,0.18485777488107913,0.1030304090993871,0.079858461273704,0.15936303793418638,0.24907846911855047,0.14179026523690663,0.08128126255110313,0.33325919228248224,0.11596360892259527,0.11574135258672924,0.34452570034742636,0.16862580131061522,0.09849018250325925,0.13570957276941065,0.21468729156299293,0.12780573255419359,0.0804546844417886,0.025683655762507862,0.3766558888914965,0.1311685707919238,0.3182831882520277,0.11139668256085034,0.12054707860540748,0.1481748486539063,0.23028448503854293,0.13017905066622804,0.10149749789075191,0.07039145874765163,0.2619294543981613
1382-metodo-ted-para-hablar-en-publico,0.0747740867641522,1.0,0.10317776469092166,0.11069587827575855,0.08244460156282851,0.03331023616816031,0.0446236205817917,0.031696869986204246,0.10870148627869147,0.08580985759129767,0.026205446334817917,0.1269291510812831,0.08227222961828806,0.08542347188204691,0.10323865161134371,0.029821796366698572,0.0739063489461893,0.031244539285773643,0.06371952744539122,0.04959895436633388,-0.0,0.05430334014458427,0.04876582363895454,0.09293660980388452,0.11241442515447153,0.07567867701803022,0.06587017304242349,0.08845260986245707,0.10130884172511101,0.11319862611372777,0.07587730084553479,0.05660015921456074,0.019773886799641982,0.05161429338034407,0.03894316320068569,0.11511347935067817,0.07237574674046077,0.10585353957655985,0.07641277316757178,0.02732133872946574,0.031454064101990475,0.03268570517449587,0.04669010239386584,0.07027891096906247,0.08693829207099746,0.0685641915450903,0.0985662771700847,0.08798152901201861,0.07619651556367102,0.05895383835778645,0.12772848705173734,0.13666464474278728,0.11353612009881464,0.13140470760571443,0.08288102420475696,0.05259492480328387,0.21031097677358745,0.09881839418822247,0.0810353728306088,0.0921083458328722,0.08744010524606272,0.061562583321585596,0.07604986642705203,0.10200115346206629,0.05454451787999193,0.02144736025382954,0.024304838549337404,0.0691674016936139,0.13706612449914102,0.116342307517313,0.08645104752822885,0.107349024429505,0.022934997156861092,0.07113136032735401,0.11209518841399468,0.09331360626648222,0.05621288943462033,0.0476788448402512,0.06528887185860943,0.05649552750276199,0.1330400796673864,0.07679304333061221,0.03667901686895603,0.08738554718992764,0.09495018028086855,0.11359095095707283,0.024234530438467683,0.049856085938340344,0.0996932438570004,0.08098472926435307,0.005967996212874693,0.03805419014831135,0.062367184301695966,0.042938926178356374,0.02224755327429051,0.08617362944623164,0.07741003346109732,0.12392227713627457,0.08248322794766005,0.05869591466217239,0.05665722787169425,0.04587761676948021,0.13384709104916293
A este lado del paraíso,0.16807706591754057,0.10317776469092166,1.0,0.18932226787304263,0.1603784772461232,0.2551139243314702,0.14357934917077875,0.13502717588349478,0.3759558349154264,0.4438375176871914,0.1861216541574916,0.24998113450378068,0.16390394859749213,0.18026640405350647,0.2738885943348649,0.13213106415311726,0.48494189367971874,0.29806939045647485,0.3303325032868708,0.15999074415007897,-0.0,0.22552707332636357,0.31323055834966484,0.1801651230722332,0.2510740412995375,0.21362565810318213,0.37426053994106023,0.25896239599502313,0.23374772120789244,0.2226587340541195,0.16006694445956027,0.12194281216517822,0.06789340082290518,0.11726413380914469,0.10649134037610664,0.12961440578148764,0.3383326110257727,0.3107662525462559,0.10927357282237782,0.22089222054185687,0.11368847590350295,0.146099777115552,0.31096861817313426,0.20597242558032214,0.30959512618469154,0.13421769295751718,0.26801982074652875,0.14338399627316756,0.4109546550449451,0.2324034754485218,0.2456659792973389,0.20580482262727695,0.3219829865293904,0.31420647334703233,0.38374919735670887,0.05519899869890288,0.23377853812113436,0.2034333865850496,0.16692869980065517,0.25779765619475925,0.25219168103150924,0.2231332381962461,0.3261790541003168,0.2579471388591341,0.27005428801204523,0.21260573423079976,0.26481226887895637,0.23447247485351197,0.27962391604092995,0.2622780319432867,0.41200608979959874,0.23045886795906012,0.3761161017575303,0.1105201612228307,0.2652446255872569,0.21294862471567977,0.3281861613370418,0.13873091742736254,0.19225584132015772,0.23362313637314247,0.1450665301276367,0.19453522064619388,0.43517571970205005,0.39215461427614706,0.20443660937140407,0.3104807561148618,0.1229984915300838,0.12128710100294482,0.21870051678263192,0.4984602778073858,0.09622515294069622,0.11716136459001147,0.21490950220452787,0.25967664916476585,0.06534232581054444,0.3045233182892446,0.3362334849835159,0.36577058557314035,0.32356026606365895,0.1438340524974795,0.3514745096431052,0.38654667411249055,0.25097489886184143
Altas capacidades en niños y niñas,0.08272266470054901,0.11069587827575866,0.18932226787304274,1.0,0.18623265400200995,0.20670899184503,0.1263549102057664,0.06368139054234145,0.1881162803182922,0.22738230645458124,0.16730328280465356,0.24423019933827128,0.12585802735670437,0.2038383522846211,0.24792838934894312,0.13185441900530415,0.19917557351803838,0.10268497520651187,0.13500476375050974,0.2633876104508873,2.220446049250313e-16,0.24477118148143773,0.1193263893918356,0.14495368872714143,0.15296152807881103,0.13775343057331213,0.17493854268609244,0.3079094617448441,0.2120544195030638,0.15959905725663637,0.13857141006792784,0.11173968674687618,0.04707174007487669,0.09472413860028561,0.10257092590072425,0.1644217898284528,0.15937280848558588,0.20281870631490784,0.08411300175939285,0.12828209329407247,0.054443653639508316,0.10298301081151962,0.12889411098901382,0.1451933803054941,0.1458421820420499,0.06902485440021777,0.13867241894198012,0.2742164730555847,0.17560350561201,0.06209442476416405,0.17862111071940023,0.24242130632795478,0.14598275245792247,0.17875837818076779,0.22656885152095707,0.02712910585248729,0.16040248849917638,0.1218697303613705,0.09247866956103457,0.11416755670933287,0.1588262186213646,0.15268361704369515,0.1352400997750799,0.16338889849950244,0.12014961956385672,0.039346993916287265,0.07051448593949128,0.133531390748441,0.23911120200112534,0.2049130048050366,0.18843833793334597,0.21822066450325228,0.11233676645346824,0.10014841002626984,0.08822069801658372,0.10656085030083018,0.11899728933896547,0.09536480587567941,0.15769322010786557,0.12481699355604658,0.1384517436658309,0.14976360884877704,0.16097793643895153,0.2698197406834092,0.10424449877884157,0.16441705860149802,0.09983314004076649,0.14042884728366067,0.17130004753084305,0.2473060147472076,0.10246869986196505,0.03961635946562403,0.14070377305862902,0.11197885740942604,0.11670819912487829,0.13784913434736124,0.1866005718311251,0.20373952764286596,0.3161723902642999,0.1176039056858571,0.17713261447245277,0.10222124652730058,0.1602320827981074
Antología Palatina I,0.14643233985480797,0.08244460156282873,0.1603784772461233,0.18623265400200995,1.0,0.13096324968736972,0.14373799142085464,0.06290247607936517,0.17745591046697962,0.15683043909925776,0.14453469814207986,0.1388205360850211,0.10220473450336709,0.13432117711133074,0.18394170654639508,0.06678487627191243,0.21638754322768106,0.09640284940893318,0.2196369725723445,0.17239776655678485,2.220446049250313e-16,0.21361334880295135,0.1627274696678641,0.12718588306095735,0.14419016973559384,0.09840502129188633,0.13727987156630728,0.1913682672580994,0.15162178585411734,0.25694619254367024,0.14648623985815956,0.20008542277941999,0.05361246454243351,0.18626694203201954,0.20398479974616357,0.10527345638424024,0.19068584114138343,0.20327835993481658,0.07014236956278275,0.164864747266962,0.0698988488515333,0.08888622332711871,0.0872880808048988,0.11035998461666696,0.13442502208848173,0.0778530010745978,0.1139138669127252,0.12399627060980034,0.17334617327537916,0.10440326294691882,0.16468645732785314,0.11335191777042453,0.15247725784315425,0.14383336568109029,0.21209858205987053,0.036156773194711,0.14916922569033153,0.08882180214582569,0.0957519891811427,0.11620252068658943,0.15325481900689886,0.1304966421762036,0.09010944583843195,0.15001131474653684,0.10367739438904322,0.055831050200035426,0.07709865083979872,0.1642726226615302,0.18451631580819716,0.1654912051518651,0.15986337625806346,0.18479501828045086,0.11947586994237436,0.10707752870094589,0.1230587123734167,0.112611770461568,0.12723726531147372,0.0731270266388081,0.1688565679848132,0.122592280213076,0.0981717263672498,0.12254763380272382,0.11689435397250914,0.26271480159877403,0.11396360058965649,0.15687968163182697,0.10567840350159863,0.08887623964086566,0.26299799192836437,0.21225718310213537,0.06504856104730994,0.03587148032256282,0.11569715817224857,0.13470904012402118,0.07928156937711262,0.1354729464269394,0.16259994027510571,0.17261232867915377,0.20075836301824168,0.15099983804132022,0.18170403623833487,0.13167981599619916,0.1342365088704366
Aquellos hombres grises,0.2444492528615413,0.05321203294888399,0.27044932132996846,0.22304092895967798,0.14885460785293614,1.0,0.20836858258568802,0.1509876289748424,0.28865213211727847,0.25399046747393683,0.18523317015753638,0.2267733606250497,0.1507929587464959,0.26776130939230425,0.23114181080530483,0.18632504110425052,0.2370691313395198,0.06176824191693764,0.1987622886808348,0.2066534606868946,0.02058757372358566,0.20529574099279613,0.30707543368066936,0.2297459355737541,0.25292943396355094,0.3349830758277239,0.17372061140991568,0.24475372345659663,0.22503881798224223,0.22925090830845973,0.38258538726305846,0.14627568160268922,0.08984740080136555,0.13505164493331212,0.16062422710183477,0.17897698037456777,0.2660880821425865,0.26978899607039786,0.1254913306997958,0.19383721445890445,0.062699710804623,0.23412890354942606,0.13609446942166614,0.3010036628350712,0.202104285484624,0.20347075691552474,0.24580687665773782,0.2241520281218372,0.2788508082526999,0.11650486442224062,0.29482812140595194,0.23334355819103436,0.211690145545676,0.27161953930639915,0.3282126093528608,0.09301693365185038,0.23449761650329815,0.41424269663824265,0.18176959568674722,0.23443575841615383,0.47550054266190966,0.3080257899030807,0.1469958286296037,0.24963493454436914,0.144672890739016,0.09733116540169862,0.15804263553741849,0.2739391192705042,0.28953413675786277,0.3614547952362811,0.19566763027399137,0.2658449308532729,0.18683762690108585,0.1581628037404481,0.24626320862172557,0.1152490455520433,0.12835155026621303,0.2790742506809962,0.33088351213634715,0.33955464983410033,0.19740908763150566,0.21299877710199833,0.16303642595931733,0.199807741684787,0.3409662438818408,0.4209220549306515,0.12699047070039238,0.18092326040374263,0.24498717068914855,0.2307834845411657,0.20964856454043035,0.04883786612212193,0.20579814706581823,0.25359475967553213,0.09840830118354249,0.2989213089982632,0.19662014403813877,0.26754725319408623,0.2927362826216825,0.18021022274323595,0.18842107774495598,0.13688896079602586,0.2862044954774857
Bastiat,0.22590712648983946,0.06398592156525684,0.1609361467293582,0.14406078984204473,0.16109157382877626,0.20810920785132325,1.0,0.08464332188329671,0.20010538911442421,0.1418636141383931,0.22192739489572522,0.16166257078672108,0.1757980996102636,0.20112504703759693,0.17107996331666442,0.1451533269208478,0.19738852133234286,0.06296142671401639,0.17226162538563505,0.23814220742838565,0.02026667332434584,0.1789538730814516,0.19461612988413612,0.23101936812768653,0.24892187181408532,0.21997314463496198,0.12082574505065236,0.1804526472984217,0.1794051090324883,0.17784155091837694,0.2142503072769627,0.12245709749049472,0.07479855009174774,0.12492128079483245,0.11367447606181857,0.28366941975535764,0.2162219552689535,0.18630121945916034,0.16776627804474697,0.18297810831401284,0.05957481823709487,0.1755822421281098,0.11878189980747123,0.21911765186396548,0.15784788370940517,0.21699698169874293,0.14293501901249084,0.23178074625051548,0.17145065489203992,0.0944189083105379,0.2531386537518887,0.1845751431898759,0.1598888566834592,0.20067459912523167,0.22866905602197807,0.09969138624028362,0.16224906841004305,0.17259186996684472,0.19161654699416109,0.12273475488069863,0.16684854409338323,0.16266105482126814,0.14994499463869293,0.22754889429836633,0.10768322814409637,0.08474467009900899,0.16015579343593633,0.3015659827366429,0.16429891232742577,0.30211642368798675,0.20726072964875253,0.14835748578233687,0.14876603874391747,0.11286876846066629,0.22364639514828955,0.11371748338243326,0.11144230462142546,0.16483840313067988,0.23417225223707694,0.15861522318874577,0.10682144581642516,0.22228173232565773,0.13486752013285175,0.17468463228417186,0.22428398843427788,0.19285120286490898,0.11645269245679135,0.06543597038218141,0.17310385955310914,0.18741152815066175,0.09151409166813518,0.03689406992152211,0.22293609017283367,0.2176111600563393,0.13639074035304477,0.11586641848476464,0.19253797423914354,0.19531503418610152,0.22578169405825488,0.1560691173395401,0.14354230968815962,0.08738477300532,0.2400217210953568
Benjamin Franklin,0.13176861245553606,0.031696869986204246,0.13502717588349478,0.06368139054234134,0.06290247607936506,0.13314110762002385,0.0657083379794664,1.0,0.05342589551470789,0.04411720358486715,0.1323065006464702,0.1107061563734485,0.10695118705538276,0.12203983940423069,0.10516153102589498,0.018203869166050546,0.039624471575255504,-0.0,0.024145820457938005,0.04568405413847787,2.220446049250313e-16,-0.0,0.023487369501260402,0.10235400599585676,0.26454848480803794,0.2604132559327976,0.10492179312298744,0.08628811618315513,0.14297719909301287,0.018058267084461233,0.17159522884438627,0.046286772781225616,0.037143814518922125,0.02501585735843037,0.04094907946397486,-0.0,0.09831328811879791,0.03252295468815947,0.07653855714790081,0.14840251749991185,0.010558434960866947,0.11106901515261625,0.027386877478552174,0.1950937195072452,0.04172254333809444,0.12608941426580766,0.05971283241034375,0.12237926425976031,0.08399402253674637,0.04987383818010871,0.24135683559573784,0.10607204824219918,0.04303774421742923,0.013852439134538153,0.03646183780594714,0.019018992042092897,0.07460858439098483,0.200864888811072,0.10689874549766543,0.06089098467370191,0.19539122875834913,0.2091005482174596,0.030604933729515338,0.13586520551122383,0.07956629900543788,-0.0,0.004947355025620825,0.08544886602226165,0.07895704110391577,0.12408609405710169,0.0280846557904203,0.07965252474728768,0.048136608633183364,0.16707119035899265,0.27223453250975427,0.02466853232560018,0.025699554516141476,0.14917153481981182,0.09928175988340904,0.10888857917337724,0.039009341668881814,0.06974677255183448,0.06204774793262979,0.03322561255431289,0.1726780104703245,0.09429540208821885,0.04623713908067251,0.2330300777284967,0.11190834017529605,0.05994392417845207,0.07508757679772349,0.017783316982871833,0.11874777695065697,0.2789285291303135,0.168749378685351,0.13849924262062452,0.05232916268465171,0.026354255331159204,0.17616576206090517,0.0884550091971037,0.03628653408116733,0.04173574879646458,0.16069462564758463
Caballos desbocados,0.1453505431322204,0.10870148627869147,0.3759558349154264,0.18811628031829208,0.1774559104669794,0.27369936423293695,0.1835588428948226,0.05342589551470789,1.0,0.4156269598281954,0.15494994120582728,0.2550055591385164,0.1489045425883101,0.19568936225686318,0.2772307427104339,0.1184835598670062,0.4609956355685213,0.23150095899999779,0.3237904319923378,0.19139739191388394,-0.0,0.18391446501890407,0.3969971452826516,0.176036745193194,0.27063697595847824,0.22212356296372926,0.26970703476161273,0.2921116297328983,0.16311202136072755,0.23284897576878583,0.18063807340469484,0.1455489707907447,0.09340504601556865,0.14685674268387972,0.13236029156114937,0.1238615249052828,0.3241878012215249,0.41602610004758533,0.12347505758329458,0.18191304585970713,0.1265041095280096,0.2054569038017705,0.27864883882744396,0.2236874671447684,0.32141406747679857,0.11372475777973168,0.31693702581381555,0.1778298499422818,0.3720467634473992,0.11550075309333385,0.2321748612960407,0.2396680700197582,0.344172161461486,0.3367322674869393,0.5458786642645186,0.041334883678408096,0.2727354472793374,0.22385648261710844,0.14168653529603858,0.2862936632537656,0.23025058589065173,0.234576176653004,0.23595195009304648,0.21513573335837555,0.22684177669186556,0.20675885650474524,0.27584401752981136,0.20407024566547327,0.24392689037997795,0.20017894902011923,0.3393371916046236,0.259101801734162,0.33729926552253287,0.09822946722087134,0.2254430621697311,0.23025392365804442,0.29922505665543175,0.18451790901114995,0.191662272460988,0.21326855000588507,0.1387729992272727,0.162130653738357,0.3334053250619987,0.3575409970314599,0.20535486332407327,0.35582334936234783,0.11204929709487021,0.059233151951995966,0.2600046817877679,0.4699082182984131,0.14843488295558815,0.10670697934615903,0.18337101597696426,0.25587640233144693,0.05857224464292321,0.28439241526108616,0.3561072783448027,0.40774102686032676,0.24653298184917594,0.20404389645501275,0.3387562105662293,0.3200631820770393,0.2141011137951755
La Casa de Dios,0.1325489939027551,0.08952503634869491,0.4460977072736879,0.23052214871440502,0.16025699720377717,0.24140453676052964,0.12767180539472656,0.048001817184447404,0.4180017943451392,1.0,0.1769126527858319,0.27319995109001816,0.14578547780712725,0.2090073926191216,0.37882989379027077,0.16541659987641888,0.5000191775375704,0.292286270101355,0.3367094595559571,0.1804856760965443,0.004063901572607831,0.23207631833834474,0.29760667455442136,0.1916459827942565,0.19956852133518765,0.20157260468888916,0.41703250878593845,0.33570987394769825,0.23764653652206003,0.17911580127437932,0.14829756778108305,0.1081195897201983,0.06936695031591922,0.09756861295526797,0.10342456932520683,0.12372840735489421,0.43086502263878035,0.37217947099622983,0.10333862943463767,0.22489047893750114,0.11509492922391151,0.13955393508297642,0.36796430720735906,0.1477263055268192,0.33721536995408563,0.09543448128791676,0.26548097953778393,0.13712748091043048,0.4980420251082063,0.1658877905901187,0.26183031453389805,0.16113881319502765,0.3627278275507384,0.3453681166701421,0.41336271230573307,0.052261711811760314,0.231777937273707,0.17148171454598315,0.15682643845529276,0.24124898888368262,0.23538160737141822,0.18899131375356815,0.2953338640744141,0.25337373435085686,0.25392505884350447,0.25663504219286637,0.28697026993863994,0.1543673215376632,0.3062923060195859,0.22310649535910398,0.36379208050133927,0.248991913698291,0.3540201505493201,0.11824416952752947,0.1562688425042419,0.21135188513439118,0.3161411182171524,0.11956498352596345,0.1686859699230645,0.25838976230266475,0.15827965928377952,0.19789178881526637,0.4399953512121889,0.3584073282019056,0.1772250455074469,0.32135895622305943,0.09015400046633282,0.06368337925332268,0.2517104156516504,0.5288014279553201,0.08330917879413546,0.10584434648490637,0.1933661049527119,0.18084007974384309,0.08521033615964868,0.2930330710265634,0.38944997509309853,0.3914848988043561,0.27282287231078983,0.1563878555192918,0.37818691085254674,0.3646090355283448,0.2095423361319918
