title,000 euros,10 000,100 000,abd allah,abrio puerta,ad loc,agujero negro,ala din,albank commentary,albank commentary ad,aleksandra vladimirovna,alto rango,amanecia interrumpio,amanecia interrumpio relato,amigo mio,aquellos hombres,aqui alla,arriba abajo,aunque solo,año nuevo,años edad,bajo mando,big bang,buen grado,buena parte,cabe duda,cambridge massachusetts,cambridge university,cambridge university press,camino hacia,campo batalla,campo concentracion,casi siempre,cien mil,cierto dia,cierto modo,cinco años,cinco mil,cincuenta años,comite central,commentary ad,commentary ad loc,cuarenta años,cuartel general,cuatro años,cuenta amanecia,cuenta amanecia interrumpio,damas honor,daw makan,decir verdad,dejo caer,demasiado tarde,derecha izquierda,di cuenta,dia anterior,dia noche,dia siguiente,diez años,diez mil,dios bendiga,dios ensalzado,dios mio,echo reir,edad media,ee uu,ejercito popular,ejercito rojo,emir creyentes,encogio hombros,enterado oh,enterado oh rey,espacio tiempo,filosofia praxis,fin cabo,finales siglo,frente popular,gran bretaña,gran cantidad,gran numero,gran parte,guerra civil,guerra mundial,haber hecho,habria podido,hacer cosas,hacia arriba,hacia atras,hacia puerta,hacia tiempo,hija rey,hijo mio,hijo rey,hombres mujeres,hoy dia,iba ser,iii pag,instituciones economicas,instituciones extractivas,instituciones politicas,interrumpio relato,interrumpio relato permiso,iv pag,ivan ilich,liudmila nikolayevna,llegar ser,llego noche,llevar cabo,mano obra,mayor parte,mañana siguiente,media hora,mil años,mil dinares,mil hombres,millones años,millones personas,misma manera,mit press,model add,modo alguno,mujeres niños,naturaleza humana,new york,new york times,ninguna parte,noche anterior,noche dia,nueva inglaterra,nueva york,nunca visto,nur din,ocho años,oh rey,oh rey feliz,oido hablar,oir obedecer,oir palabras,op cit,oxford university,oxford university press,padre eugenio,padre madre,padre ossorio,parece haber,parece ser,parecia haber,partido comunista,partir entonces,pavel nikolayevich,pequeña dorrit,permiso llego,permiso llego noche,podria haber,podria ser,press cambridge,press cambridge massachusetts,press nueva,press nueva york,primer dia,primer lugar,primera guerra,primera guerra mundial,principio fin,prisioneros guerra,punto vista,puntos vista,qamar zaman,quiere decir,quiero decir,quince años,recito versos,refirio enterado,refirio enterado oh,relato permiso,relato permiso llego,rey feliz,rey tiempo,rompio llorar,sabe usted,sahrazad cuenta,sahrazad cuenta amanecia,segunda guerra,segunda guerra mundial,segundo lugar,seis años,seis meses,seleccion natural,sentido comun,ser humano,sera mejor,seres humanos,seria mejor,señorita ophelia,siete años,siglo xiii,siglo xix,siglo xx,simo häyhä,sino ademas,sino tambien,st clare,stepan fiodorovich,tallo verde,tener cuenta,teniente coronel,texto griego,tras haber,treinta años,tres años,tres cuatro,tres meses,tres mil,tres veces,ultimos años,union sovietica,university press,university press nueva,vaina azul,vease tambien,veinte años,viktor pavlovich,volvio hacia,voz alta,voz baja,york times
1177 a. C. El año en que la civilización se derrumbó,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09044446988321073,0.0,0.0,0.0,0.0,0.041299299297365644,0.036825115328115554,0.03274599831444978,0.0,0.03602696177361461,0.0,0.0,0.0,0.1297603143995277,0.1404110924321833,0.0,0.2322680218022815,0.2322680218022815,0.0,0.0,0.0,0.03142707568462827,0.0,0.0,0.0,0.06208087954251898,0.0,0.07479065568079368,0.0,0.0,0.0,0.09747437950823648,0.0,0.03174970580794703,0.0,0.0,0.0,0.0,0.0,0.0,0.03414613519642895,0.0,0.0,0.0,0.0,0.0,0.06396376301775462,0.03563814816326067,0.0,0.0,0.0,0.0,0.04447819059272414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1749664816280595,0.0,0.0,0.056610875073602476,0.07319940748745915,0.030180460025551272,0.0,0.09825133632920799,0.0,0.038510704291696014,0.0,0.0,0.0,0.0,0.0543110452854819,0.07004202821634026,0.0,0.1549650579942105,0.0,0.10541978522195349,0.0,0.0,0.0,0.0,0.0760095145173684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03240902856115344,0.0,0.06535200983437711,0.0,0.0,0.16997038283926144,0.0,0.04817469052347556,0.0,0.0,0.0,0.0,0.0,0.07252300338620597,0.041299299297365644,0.0,0.04955360011289267,0.05516844303487775,0.08691489632588348,0.0,0.0,0.0,0.1597430875206827,0.0,0.0,0.062350340191593676,0.0,0.0,0.03723494699848602,0.0,0.0,0.0,0.2560095612226636,0.2560095612226636,0.0,0.0,0.0,0.130292269506829,0.1269299916802589,0.0,0.0,0.036825115328115554,0.0,0.0,0.0,0.0,0.15620498975139713,0.10006048195631635,0.0,0.0,0.0,0.0,0.036825115328115554,0.07132538180957669,0.10907244448684343,0.11338565417673109,0.07831047686814366,0.09498037753995202,0.07063120108010579,0.0596933761195247,0.0,0.0,0.0,0.0584306169490114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036825115328115554,0.04179921046103755,0.072423243632666,0.03274599831444978,0.0,0.0,0.0,0.0543110452854819,0.042310356518654536,0.0,0.038077452290789404,0.0,0.0,0.2693325395193912,0.11092028956552936,0.038077452290789404,0.0,0.039402781072555626,0.08766611253982365,0.0,0.0,0.0,0.030795228323121274,0.0,0.0,0.06671470767921833,0.0935317805691516,0.046279840013743266,0.0,0.0,0.1493127424598175,0.029879196782459896,0.1005914462261749,0.0,0.2742032662995138,0.0,0.0,0.3429757609974024,0.10152638150213276,0.0,0.0,0.0,0.0,0.05516844303487775
1382-metodo-ted-para-hablar-en-publico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33050668397439087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24858510832528927,0.33050668397439087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.323474814030586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4178293162929602,0.0,0.0,0.0,0.4289338045449785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29444543346291935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24617437849845336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33050668397439087,0.0,0.0
A este lado del paraíso,0.0,0.0,0.0,0.0,0.13988342138732257,0.0,0.0,0.0,0.0,0.0,0.0,0.07040158315772123,0.0,0.0,0.0,0.06177786274893564,0.11422732709981455,0.10185244218759337,0.09057024996337468,0.0,0.04748131719476074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0954493755206002,0.05315414234015005,0.0,0.07012837938860389,0.0,0.0,0.12256238869714378,0.08181877649885248,0.09215788827039312,0.0795252348700984,0.0,0.0,0.0,0.0915162706199119,0.0,0.10918973024151475,0.0,0.0,0.0,0.0,0.0,0.1717171882367784,0.04500250358119943,0.058619516379226196,0.06015711316401684,0.051930439158817246,0.05315414234015005,0.12098727734931888,0.11666998082004046,0.09856947882251599,0.0,0.0,0.2505103380277311,0.1075000743900374,0.12301963742922564,0.08802140845628251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08999778623830706,0.06015711316401684,0.0,0.0,0.04406565967241545,0.0,0.06734660176574073,0.0,0.10414030115739517,0.043157209386615825,0.0,0.0,0.0,0.11868281747253372,0.161205497206223,0.10088174464006343,0.0,0.14774562755648363,0.0,0.07012837938860389,0.06344046437187868,0.07539655834223448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1923649719861445,0.0923110802293658,0.07231957161271435,0.06825948886303143,0.055885843705516955,0.08692079950878694,0.17645419373208848,0.05937845730160999,0.0,0.0,0.0,0.0,0.1149866029856193,0.0,0.0,0.0,0.09215788827039312,0.1416944778308301,0.0,0.0,0.0,0.08692079950878694,0.057879316667346296,0.18472280945222957,0.20897464891545126,0.04907336733734896,0.0,0.04853323443189895,0.0,0.0,0.1370010379509507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045969573421684284,0.11287438918912678,0.0,0.0,0.0,0.0,0.0,0.0,0.11868281747253372,0.07941431103013721,0.0,0.0,0.0,0.0,0.08217390904182457,0.0756004652896245,0.11561000227796805,0.10602881958286446,0.06095653561209977,0.0,0.08512728022909381,0.0,0.0,0.12078140606266348,0.14010092418227596,0.10853377148657518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07793512650895525,0.1075000743900374,0.0,0.0,0.0,0.0,0.045482138857186154,0.0,0.10626269475310451,0.0,0.10073897616163084,0.04227548213822183,0.05576244455775791,0.041844157211489985,0.050183737433875365,0.0,0.043157209386615825,0.07654061622602862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0878146625329932,0.06099397937643117,0.11868281747253372,0.09247673489679782,0.0,0.06667434376695763,0.09444280703633576,0.0,0.0,0.0,0.0,0.0,0.1027569028905244,0.0,0.18643618406929788,0.17092246448870396,0.05645159135030166,0.0
Altas capacidades en niños y niñas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10192742395141771,0.0,0.0,0.0,0.1624454076259822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3033515923234922,0.0,0.0,0.0,0.0,0.0,0.0,0.18750952950970506,0.14425610052398286,0.0,0.0,0.13080642376988505,0.0,0.0869354822136057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1084406802375515,0.23740761357621942,0.0,0.0,0.0,0.0,0.0,0.31865852592574645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20909790003762596,0.0,0.22058973652757663,0.0,0.08122674634601017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22757494413805465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11943488410360134,0.0,0.0,0.0,0.0,0.0,0.09312333440746041,0.0,0.0,0.0,0.0,0.11943488410360134,0.18604432438382923,0.0,0.0,0.0,0.0,0.08778831238377437,0.27286166341860296,0.0,0.10089567303357407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10620508527116598,0.10958440838967357,0.0,0.1181292042111232,0.1040352527233128,0.0,0.17434981627854354,0.0,0.0,0.10620508527116598,0.0,0.0,0.0,0.0,0.0,0.08609239888735731,0.0,0.0,0.0,0.27883578113008256,0.0,0.0,0.0,0.0,0.18604432438382923,0.2670895226860459,0.1084406802375515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11558519389880281,0.0,0.0
Antología Palatina I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07499445788962864,0.0,0.0,0.06829475971914857,0.0,0.0,0.18480876039118338,0.0,0.0,0.07744591924713445,0.0,0.0,0.0,0.07190422216790301,0.0,0.18004044735647673,0.0,0.0,0.0,0.0,0.0,0.0,0.07420359825964702,0.0,0.0,0.0,0.0,0.0,0.09862524890987784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12302214019020172,0.0,0.0,0.0,0.0,0.0,0.08368832412565187,0.08182290755873983,0.14169665003913431,0.0,0.0,0.0,0.15220962762426246,0.2436143840761969,0.0,0.06829475971914857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1420176618909941,0.0,0.0,0.0,0.0,0.10468931143518272,0.0,0.0,0.0,0.0,0.0,0.09308173706641375,0.0,0.0,0.0,0.0,0.0,0.0,0.1615869922769058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09424479478325731,0.0,0.2831405418857917,0.2702166644889097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07499445788962864,0.18381220626275951,0.0,0.0,0.0,0.0,0.0,0.10057157672882663,0.0,0.0,0.10050983656273205,0.0,0.0,0.07661518250940187,0.0,0.16132173709458217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16794216100033843,0.0,0.0,0.07116093489229283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07116093489229283,0.0,0.0,0.0,0.0,0.0,0.19050885139617188,0.0,0.0,0.0,0.06692168052570631,0.0,0.3996316114631899,0.29095128183925906,0.0,0.15499850706580906,0.1269766549334463,0.07265885777839863,0.0,0.22062885835840637,0.07420359825964702,0.0,0.0,0.0,0.0,0.0,0.10993779957557333,0.0,0.0,0.07744591924713445,0.0,0.0
Aquellos hombres grises,0.0,0.1725624116237876,0.11770715537564558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10383774110899564,0.0,0.0,0.0,0.11293880437113794,0.0,0.07158335375543334,0.0,0.13773857212097967,0.04136193549946069,0.11607116923512881,0.0,0.09496539181255305,0.0,0.05041984309171189,0.0,0.0,0.0,0.06708318688168481,0.11049413457600299,0.2129893633223606,0.10072915334497029,0.0,0.0,0.0,0.10005029202110188,0.0,0.0,0.0,0.0,0.0,0.07972167383236935,0.20797745420562402,0.03645129145241825,0.0,0.0,0.0,0.0,0.07659400904336502,0.0,0.08227103888044564,0.0,0.052404077677912046,0.07659400904336502,0.04630364819038837,0.11751627594311209,0.030773947239488095,0.0,0.0,0.0,0.0,0.0,0.0,0.07667722873412984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09717340510251392,0.13674518705888525,0.0,0.05106464602786282,0.12677464028615554,0.11796904536244524,0.08268430580098916,0.0,0.1468840712648221,0.03759511775260721,0.0,0.07319129377592126,0.044213477588291236,0.0,0.0,0.06235357747129302,0.0,0.0,0.0,0.10072915334497029,0.0684986398218336,0.038791350967241164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07401773797993144,0.0,0.15984056593266738,0.19637904461338812,0.12557344407823595,0.14298162812636084,0.07659400904336502,0.0,0.0,0.0,0.0,0.0,0.10016715493558553,0.0,0.0,0.0,0.18175187042079857,0.05172577481143843,0.0,0.0,0.0,0.0757184660252161,0.05041984309171189,0.0,0.14414248407017294,0.042748802570555924,0.0,0.11032255159698232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04857579299305406,0.1322521023846185,0.04685341990924015,0.06231376307141104,0.12454801965993752,0.0,0.0,0.0,0.0,0.039620410825418936,0.0,0.0,0.0,0.0,0.0,0.0422782818749164,0.07488491936568008,0.1534314663380265,0.17441364251074995,0.0,0.25734087632306724,0.10559244037361858,0.04047665776789023,0.0,0.060471868913021275,0.0,0.039620410825418936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07158335375543334,0.08125236384109315,0.10338700211406263,0.03759511775260721,0.08140800583388988,0.0,0.04181608941793945,0.03682702731765581,0.0,0.10176323807788032,0.0,0.0,0.03759511775260721,0.0,0.12068205871884403,0.04371606841376473,0.0,0.09493629996395414,0.11300471175090367,0.0,0.0,0.0,0.08436856408830476,0.0,0.0,0.07659400904336502,0.03645129145241825,0.06585709398524665,0.11061065709656906,0.06499397251636312,0.0,0.0,0.06637575614815892,0.12293029293918417,0.0,0.0,0.0,0.23284665876666236,0.0719903598479082,0.0,0.0,0.0,0.0,0.0
Bastiat,0.0,0.20964831806529596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06341003494959485,0.0954699782921127,0.0,0.06203567551215389,0.0,0.0,0.0,0.10855737386649769,0.1804538563236016,0.0,0.0,0.0,0.0,0.06944738101545847,0.0,0.1135664525296367,0.255964781742378,0.0,0.0,0.0,0.0,0.10390195464024783,0.0,0.0,0.0,0.0,0.0,0.05467056754562783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12967483384026357,0.0,0.0,0.0,0.0,0.04615554330628264,0.21385536757178045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0765880458173627,0.0,0.14574312721485755,0.0,0.0,0.19985175039506614,0.05757302295245951,0.0,0.08799022817435119,0.0,0.0,0.05638610711948831,0.11227680608289213,0.06483438191780676,0.0,0.0,0.0,0.055234105686014404,0.0,0.0,0.0,0.0,0.10273599002799513,0.0,0.0,0.15802984175963508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1331692351670201,0.34695479427654713,0.10290817405255351,0.0,0.0,0.0,0.0,0.25544933382639945,0.0,0.0,0.0,0.0,0.0,0.1760025505020024,0.07111423789188565,0.07757962346464606,0.0,0.0,0.06271682702934264,0.0,0.0,0.0,0.0,0.06411573377253381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11500244423967303,0.11500244423967303,0.0,0.0746771680578144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059423692821530705,0.11798025572432401,0.0,0.0,0.0,0.0,0.0,0.14493823829925134,0.0,0.0,0.0,0.0,0.19473209295363933,0.06070791361149146,0.0,0.12782722377502417,0.065566463513749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05638610711948831,0.058180247907238934,0.0,0.0,0.09351947031302532,0.0,0.0,0.0,0.0,0.0,0.10000246649059162,0.2141210632352313,0.0,0.0,0.16190668007788686,0.16948732076657655,0.0,0.0,0.0,0.053027030244192856,0.0,0.0,0.06784857841339567,0.0,0.0,0.059423692821530705,0.0,0.0,0.1227741144853204,0.09955203547799955,0.0,0.16084194497210688,0.0,0.0,0.0,0.10797295991108193,0.0,0.0,0.0,0.0,0.0
Benjamin Franklin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10444278779666319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5723604187319778,0.0,0.0,0.0,0.0,0.24840176350835055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26023257488525353,0.3918989515142002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13590762369865006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27575999037729304,0.18514098076248348,0.0,0.0,0.0,0.13737252959689678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14348700827703298,0.1628682925757793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1237109581183051,0.0,0.0,0.33294589755586834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10650392229948169,0.0,0.0,0.0,0.0,0.0,0.0,0.21496076174764311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caballos desbocados,0.0,0.0,0.0,0.0,0.1358121161866312,0.0,0.0,0.0,0.0,0.0,0.0,0.05842526794538147,0.0,0.0,0.0,0.1965233497740627,0.11786993883794403,0.04027703779881151,0.07516295635192675,0.16199113592339387,0.09402970220431796,0.1257350489939219,0.0,0.09047020138920221,0.08546658645549791,0.048033217906612025,0.0,0.0,0.0,0.07921207293757836,0.1052638905249609,0.0,0.0,0.04309632946148415,0.26030475995764,0.16119662836823623,0.06790023356718312,0.04517062401687657,0.08180140208694289,0.0,0.0,0.0,0.10103279962558165,0.12750724443992936,0.07287613371604536,0.0,0.0,0.0,0.0,0.12695791434761766,0.12075553871161031,0.03734693471387087,0.0,0.0,0.13271262723761487,0.07468787688601253,0.11195363856411795,0.04963843827745387,0.06599685614023462,0.0,0.0,0.0,0.05269050249731735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0486474990713238,0.0,0.14988749160152742,0.0,0.0,0.0486474990713238,0.0872654993844875,0.08006099304655917,0.1055388615065253,0.045717395986383164,0.0,0.03581555142785765,0.0421206309496945,0.0,0.12408359419931837,0.11119331133937994,0.12234188898497171,0.07362733281121896,0.0,0.0,0.0,0.03437299527720602,0.07420171512676242,0.06257052648142777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10867465184588174,0.12970802070825463,0.14501516021918476,0.0,0.09765146254720011,0.11893927470036246,0.07296842872019439,0.0,0.0,0.08921277574561963,0.0,0.0,0.0,0.0,0.0,0.0,0.09479562664862404,0.1034140172137675,0.0,0.0,0.08360183693029877,0.1255066635658121,0.048033217906612025,0.0,0.0,0.08546658645549791,0.0,0.1330183446243126,0.0,0.0,0.06895390381090741,0.0,0.06993401028057533,0.0,0.0,0.0,0.0,0.09954502997202012,0.0,0.0,0.06459270508495947,0.15166713331686982,0.05936413873295247,0.0,0.0,0.0,0.0,0.0,0.06390780168626942,0.06590480203036121,0.0,0.0,0.0,0.0,0.04027703779881151,0.02989582510421974,0.0,0.0,0.05058695794071108,0.0,0.09777257355164627,0.13438041767680148,0.0,0.0,0.0993814444332153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06467724793122816,0.1257350489939219,0.0,0.0,0.0,0.0,0.0,0.07516295635192675,0.036955160897905466,0.0,0.08360183693029877,0.09154904632285901,0.09711633921518835,0.11102639924311884,0.0993814444332153,0.0,0.06064099992027692,0.06351996377257438,0.0,0.0,0.0,0.0,0.09588378195099678,0.0,0.0,0.0,0.0878908780706205,0.19916980408095022,0.0,0.11245719598354742,0.058796005816654,0.09206244574872917,0.03774497717625132,0.03656946133985486,0.08940864219956286,0.05533208523080979,0.03734693471387087,0.0,0.0,0.0,0.0,0.0,0.13058061417121977,0.0,0.11179399892921325,0.10881945183752352,0.14426681386095525,0.0
La Casa de Dios,0.0,0.0,0.12357370990386127,0.0,0.05360972095920785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058883534882132826,0.05649814580524862,0.11878541887663109,0.1582318535967919,0.0,0.20590399439276386,0.0911289330546001,0.0,0.0,0.058883534882132826,0.0,0.0,0.0,0.0,0.0,0.041595102166789334,0.0,0.07261212926930546,0.037879165846562805,0.0,0.0,0.1265409413497467,0.10979790382154028,0.0,0.11991943181684397,0.0,0.0,0.0,0.09516810745395628,0.0,0.11784417078216552,0.0,0.0,0.0,0.0,0.0,0.05099682285683439,0.08637144835975712,0.09076914789268818,0.15359118832322488,0.13258711133300483,0.08230631204749915,0.11064735055729392,0.08430501184276414,0.0,0.2260197276270247,0.0,0.09194432682763554,0.13856048142318317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05360972095920785,0.0,0.04861143377995019,0.0,0.0,0.0,0.0,0.0,0.10155476097285364,0.050380736699707114,0.0,0.0828298513473051,0.04641708854402265,0.13975260031646014,0.04641708854402265,0.1161235203476425,0.14742840364644538,0.08113758861875174,0.0,0.06438485783054704,0.0,0.0,0.07191262943309337,0.1344968589832432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14673626507024293,0.0,0.03906271713325156,0.0,0.07203315395375055,0.17712088695914122,0.13990808349181566,0.054303800569321076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12932608578620744,0.11203515805884562,0.0,0.0,0.11331073115142198,0.1070954919650767,0.0,0.11582105559676123,0.0,0.0,0.14821808283733187,0.0,0.0,0.0,0.0,0.0,0.0,0.052272154209942176,0.0,0.0,0.0,0.1173784937518342,0.0,0.13075552460204984,0.0,0.0,0.0,0.0,0.08729199255562962,0.0726273316032021,0.0,0.0,0.0,0.0,0.1615211687102421,0.032945308027710056,0.0,0.0,0.0557470116891439,0.0,0.03262466483759889,0.04249402467440869,0.0,0.13367040529088506,0.1281274891957424,0.07042662995880224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07127456252003979,0.13856048142318317,0.0,0.0,0.0,0.0,0.0,0.11627173873246979,0.09718117388130203,0.0,0.0921295284458403,0.14069503841405906,0.18180109087605156,0.09985805635089164,0.045894888369867604,0.0,0.039468867972689364,0.0,0.0,0.045894888369867604,0.0,0.08041147391330884,0.06714387153652357,0.0,0.0,0.0,0.0371175979795295,0.0,0.0,0.08041147391330884,0.09131879154781111,0.08596873580432615,0.041595102166789334,0.09616689779898677,0.046949429158549986,0.03601350191288953,0.041156457925143,0.0,0.0,0.0,0.0,0.0,0.10609254078820422,0.0,0.17991553052149903,0.11991943181684397,0.051627073147696496,0.0
